hilda,00:02:6f:eb:a0:f4,27/10/2017 16:15,32.16870993,34.81323603,39
Shaked-Guest WiFi,b0:aa:77:f1:3a:68,27/10/2017 16:17,32.16755364,34.80979362,11
Kadabra-AP,00:1d:aa:7c:8c:f8,27/10/2017 16:18,32.16691973,34.80897673,16
Kadabra-AP,00:1d:aa:7c:8c:f8,27/10/2017 16:19,32.16711356,34.80794417,22
edimax_repeater,74:da:38:50:ce:4c,27/10/2017 16:19,32.16732278,34.80736423,24
edimax_repeater,74:da:38:50:ce:4c,27/10/2017 16:19,32.16773843,34.80626298,31
ida,c0:c1:c0:ce:4d:06,27/10/2017 16:19,32.16814986,34.80417714,36
Student,82:2a:a8:18:13:88,27/10/2017 16:20,32.16822677,34.803571,37
Student,46:d9:e7:04:ff:09,27/10/2017 16:20,32.16828018,34.80265279,34
smadarwifi,44:d9:e7:04:ff:09,27/10/2017 16:20,32.16828018,34.80265279,34
Student,46:d9:e7:04:ff:83,27/10/2017 16:20,32.16828018,34.80265279,34
dserota,00:1b:9e:7a:43:13,27/10/2017 16:20,32.16828018,34.80265279,34
Student,82:2a:a8:18:13:88,27/10/2017 16:20,32.16828953,34.80256887,33
eldan,00:23:cd:16:9e:e0,27/10/2017 16:20,32.16837414,34.80172666,32
Claude,d0:d4:12:5c:c3:6a,27/10/2017 16:20,32.16837414,34.80172666,32
Student,46:d9:e7:04:ff:09,27/10/2017 16:20,32.16838391,34.80162958,32
smadarwifi,44:d9:e7:04:ff:09,27/10/2017 16:20,32.16838391,34.80162958,32
Student,46:d9:e7:04:ff:83,27/10/2017 16:20,32.16838391,34.80162958,32
smadarwifi,46:d9:e7:03:ff:09,27/10/2017 16:20,32.16838391,34.80162958,32
Student,82:2a:a8:18:13:88,27/10/2017 16:20,32.16839075,34.80153149,31
hadad,70:62:b8:30:db:f8,27/10/2017 16:20,32.16847482,34.80076466,32
eldan,00:23:cd:16:9e:e0,27/10/2017 16:20,32.16848744,34.80067508,32
Claude,d0:d4:12:5c:c3:6a,27/10/2017 16:20,32.16848744,34.80067508,32
dserota,00:1b:9e:7a:43:13,27/10/2017 16:20,32.16849248,34.80059962,31
DanAccadia,0c:f4:d5:1b:38:e8,27/10/2017 16:21,32.16859445,34.80025492,29
Video Connection,6c:b0:ce:e8:2a:b0,27/10/2017 16:21,32.16859445,34.80025492,29
DanAccadia,d8:38:fc:27:22:58,27/10/2017 16:21,32.16859445,34.80025492,29
DanAccadia,d8:38:fc:26:d2:68,27/10/2017 16:21,32.16859445,34.80025492,29
DanAccadia,d8:38:fc:26:fd:18,27/10/2017 16:21,32.16859445,34.80025492,29
Video Connection,6c:b0:ce:e8:2a:b0,27/10/2017 16:21,32.16888669,34.80024686,30
DanAccadia,0c:f4:d5:1b:08:58,27/10/2017 16:21,32.16888669,34.80024686,30
DanAccadia,0c:f4:d5:1b:09:98,27/10/2017 16:21,32.16888669,34.80024686,30
Video Connection,6c:b0:ce:e8:2a:50,27/10/2017 16:21,32.16913213,34.80027706,32
Video Connection,6c:b0:ce:e8:2e:50,27/10/2017 16:21,32.16913213,34.80027706,32
Video Connection,6c:b0:ce:e8:2e:50,27/10/2017 16:21,32.16930276,34.80030556,32
DanAccadia,0c:f4:d5:1b:38:e8,27/10/2017 16:21,32.16963144,34.80037705,33
DanAccadia,d8:38:fc:27:22:58,27/10/2017 16:21,32.16963144,34.80037705,33
DanAccadia,d8:38:fc:26:d2:68,27/10/2017 16:21,32.16963144,34.80037705,33
DanAccadia,d8:38:fc:26:fd:18,27/10/2017 16:21,32.16963144,34.80037705,33
Video Connection,6c:b0:ce:e8:2a:b0,27/10/2017 16:21,32.1699567,34.80047666,34
DanAccadia,0c:f4:d5:1b:09:98,27/10/2017 16:21,32.1699567,34.80047666,34
DanAccadia,0c:f4:d5:1b:08:58,27/10/2017 16:21,32.1699567,34.80047666,34
DanAccadia,0c:f4:d5:1b:e1:58,27/10/2017 16:21,32.1699567,34.80047666,34
Video Connection,6c:b0:ce:e8:2a:50,27/10/2017 16:21,32.17018774,34.80057526,34
Video Connection,6c:b0:ce:e8:2e:50,27/10/2017 16:21,32.17033813,34.80064081,34
TopAudio,04:a1:51:2f:f2:be,27/10/2017 16:21,32.17050421,34.80071453,34
gidron,f8:0b:cb:51:74:e8,27/10/2017 16:21,32.17050421,34.80071453,34
daniel,e8:1d:a8:05:01:38,27/10/2017 16:21,32.17050421,34.80071453,34
TopAudio,4c:60:de:d1:da:80,27/10/2017 16:21,32.17066324,34.80078701,35
TopAudio,e4:f4:c6:4d:c7:5c,27/10/2017 16:21,32.17066324,34.80078701,35
DanAccadia,d8:38:fc:26:d2:68,27/10/2017 16:21,32.17066324,34.80078701,35
DanAccadia,0c:f4:d5:1b:e1:58,27/10/2017 16:21,32.17097269,34.80091165,34
daniel,e8:1d:a8:05:01:58,27/10/2017 16:21,32.1713479,34.80107739,34
daniel,e8:1d:a8:04:fc:08,27/10/2017 16:21,32.1713479,34.80107739,34
daniel,e8:1d:a8:05:0f:c8,27/10/2017 16:21,32.1713479,34.80107739,34
daniel,e8:1d:a8:04:fa:68,27/10/2017 16:21,32.1713479,34.80107739,34
daniel,e8:1d:a8:03:91:58,27/10/2017 16:21,32.1713479,34.80107739,34
TopAudio,04:a1:51:2f:f2:be,27/10/2017 16:21,32.17155187,34.80115525,35
gidron,f8:0b:cb:51:74:e8,27/10/2017 16:21,32.17155187,34.80115525,35
daniel,e8:1d:a8:05:01:38,27/10/2017 16:21,32.17155187,34.80115525,35
