SSID,MAC ,lat,Lot,hight
afikim-wifi,00:1a:dd:e3:06:e4,32.102529803081474,35.2073198916877,699.8860444903257
Moria0,d8:fe:e3:03:5a:31,32.10253058643105,35.2073073810576,699.7521498395156
Moria4,00:27:19:e3:2d:fe,32.10253330333696,35.20726399020641,699.287760530489
AUC_54_R,00:25:86:cc:00:f8,32.10365113349193,35.20818644933492,693.5284770660688
Moria12,14:ae:db:32:52:12,32.10253330333696,35.20726399020641,699.287760530489
Ariel_University,1c:b9:c4:16:f1:98,32.10229709867168,35.2091514830217,691.5059135554186
Moria20,34:0b:01:19:21:42,32.10253330333696,35.20726399020641,699.287760530489
Moria4,a0:4f:d4:3b:e9:01,32.102528187003614,35.20734570155965,700.1622738859833
Moria8,14:ae:db:3a:64:05,32.102528187003614,35.20734570155965,700.1622738859833
Moria12,10:be:f5:3b:68:2c,32.102528187003614,35.20734570155965,700.1622738859833
Ariel_University8,1c:b9:c4:16:f4:7c,32.102887968711755,35.20808519133745,695.6246784683358
SGH-I337M4,ec:8c:a2:08:a9:38,32.10276968784859,35.207536172161696,695.1730814282531
Moria24,00:21:04:4c:2a:a2,32.102528187003614,35.20734570155965,700.1622738859833
Moria28,a0:4f:d4:3a:a0:e1,32.102528187003614,35.20734570155965,700.1622738859833
Ariel_University,ec:8c:a2:08:94:1c,32.10328607262495,35.20876920992431,704.3254092120246
Ariel_University,ec:8c:a2:08:94:18,32.10296523454319,35.20891011307865,691.6733251243019
Sveta0,d0:0f:6d:f1:35:2f,32.10251814263996,35.20734901460898,698.9056862429085
Sveta4,a0:ab:1b:59:55:54,32.10251814263996,35.20734901460898,698.9056862429085
Sveta8,b0:48:7a:a1:80:8c,32.10251814263996,35.20734901460898,698.9056862429085
Sveta12,10:be:f5:39:8f:f2,32.10251814263996,35.20734901460898,698.9056862429085
Sveta16,00:12:2a:39:2c:3c,32.10251814263996,35.20734901460898,698.9056862429085
Sveta20,10:be:f5:a7:b4:f4,32.10251814263996,35.20734901460898,698.9056862429085
 ,1c:b9:c4:96:f1:97,32.10229102378868,35.2089337877798,699.6054525699565
Ariel_University,ec:8c:a2:08:78:cc,32.10333572088736,35.209006196642626,710.5443674681852
Ariel_University0,1c:b9:c4:16:d2:88,32.10301611459738,35.20917687450773,693.6990781975634
BEZEQINT-8831,14:ae:db:43:88:35,32.10251581558651,35.207339181669674,697.993173771496
Ariel_University,ec:8c:a2:09:03:38,32.10281447386213,35.20758104767403,693.2074095942437
Ariel_University,1c:b9:c4:14:33:c8,32.10262607623046,35.209060711472134,692.3752081075961
Ariel_University12,1c:b9:c4:96:28:f7,32.10242248031378,35.20871363230101,704.2728646362713
Ariel_University32,1c:b9:c4:96:f4:77,32.102821209609324,35.20819917827672,693.7210746575796
 ,ec:8c:a2:88:94:17,32.10312160463072,35.2087553588015,698.6493422334056
victoria,00:8c:54:90:ce:d1,32.10251743683182,35.2073387273908,695.5775665899107
sinusafe20,ec:8c:a2:08:78:c8,32.102781276849505,35.2092594141194,693.85717185645
BezeqFree,06:ae:db:3a:64:05,32.102458386443125,35.20743113335047,694.8881937656644
2.4V14,1c:b9:c4:14:33:cc,32.102609986991624,35.208973798145685,698.9371307630803
Ariel_University4,14:ae:db:cb:05:f5,32.102458386443125,35.20743113335047,694.8881937656644
SGH-I337M0,ec:9b:f3:26:ab:3a,32.10280900493249,35.208211488627946,697.7819011513628
Hoom_2.4,80:37:73:d7:ab:3a,32.10246378160256,35.207563401001366,694.129943277534
 ,ec:8c:a2:89:03:37,32.10309570760303,35.20769665213842,691.9218910832049
Ariel_University0,ec:8c:a2:09:03:3c,32.10310231558724,35.207698037468575,691.9064470832453
Ariel_University16,1c:b9:c4:16:d2:8c,32.10306198424993,35.208550667918395,695.9401519789569
Ariel_University12,14:ae:db:58:0d:6d,32.10258798763252,35.20759021123835,693.1085203108703
bezek freeee0,cc:fa:00:ae:93:46,32.10263460161589,35.20757686137406,692.0341048029707
bezek freeee4,00:0e:f4:c1:50:14,32.10263460161589,35.20757686137406,692.0341048029708
Ariel_University,ec:8c:a2:08:a9:3c,32.10294522725105,35.20767327460506,691.0835484362619
Ariel_University0,1c:b9:c4:16:28:f8,32.102660003208236,35.2090295168646,693.4332346043703
HOTFiber-3C40,a4:08:f5:20:72:6a,32.102861507686676,35.2076291986019,691.1036071541976
Ariel_University0,ec:8c:a2:08:77:48,32.102861507686676,35.2076291986019,691.1036071541976
Ariel_University4,14:ae:db:cf:86:f5,32.103147609584674,35.20814477182254,691.7941043072863
Ariel_University,1c:b9:c4:16:f4:78,32.10266751750196,35.208797550899625,694.0068301472393
SGH-I337M8,1c:b9:c4:96:d2:87,32.10297429619621,35.20769754582129,690.9460551220589
SGH-I337M12,ec:8c:a2:09:93:b8,32.10297429619621,35.20769754582129,690.9460551220589
Ariel_University,ec:8c:a2:08:7a:1c,32.10349661289003,35.207792404900374,690.6301240378522
Ariel_University,ec:8c:a2:08:a9:28,32.10361868733057,35.20781670936575,690.5070726021237
Ariel_University0,ec:8c:a2:09:0c:cc,32.10321891949164,35.2077603995489,690.8382411765818
Ariel_University8,ec:8c:a2:08:78:3c,32.10317578496331,35.2077533608269,690.8658803245012
Ariel_University8,ec:8c:a2:08:a9:2c,32.103766485175285,35.20783180358039,690.3776746163047
Ariel_University4,ec:8c:a2:88:a9:27,32.10377986390148,35.207818162044134,690.4231966047739
Ariel_University8,ec:8c:a2:88:a9:37,32.103254567862166,35.20776621667453,690.8153989055744
Ariel_University12,ec:8c:a2:26:ae:28,32.103254567862166,35.20776621667453,690.8153989055744
Ariel_University16,a0:4f:d4:46:a9:e1,32.103254567862166,35.20776621667453,690.8153989055744
 0,ec:8c:a2:88:7a:17,32.10375939005184,35.207824304039484,690.4413487921157
 4,ec:8c:a2:08:7a:18,32.10377787980504,35.20782590179721,690.4274628299759
 12,ec:8c:a2:08:78:38,32.103323385092075,35.20778662747971,690.7687922307229
 16,ec:8c:a2:26:b0:58,32.103323385092075,35.20778662747971,690.7687922307229
 20,ec:8c:a2:88:78:37,32.103323385092075,35.20778662747971,690.7687922307229
Ariel_University,ec:8c:a2:08:7b:8c,32.10367906044158,35.207828224059384,690.5042269400622
 28,ec:8c:a2:09:86:d8,32.103323385092075,35.20778662747971,690.7687922307229
 ,ec:8c:a2:89:0c:c7,32.10342051137385,35.20780552775216,690.6874448611455
Ariel_University0,ec:8c:a2:09:0c:c8,32.10342051137385,35.20780552775216,690.6874448611455
 0,ec:8c:a2:88:7b:87,32.10392178055328,35.207895366225024,690.2937519226789
Ariel_University8,ec:8c:a2:08:90:cc,32.10342051137385,35.20780552775216,690.6874448611455
 4,ec:8c:a2:08:90:c8,32.1036008123458,35.20781952974852,690.5542770521721
Ariel_University0,ec:8c:a2:09:8c:38,32.10353355128237,35.20781291804855,690.5795129917332
Ariel_University12,00:27:22:f3:bb:3a,32.10353355128237,35.20781291804855,690.5795129917332
Ariel_University4,00:27:22:f3:bb:86,32.10375725007887,35.20784015835278,690.4441102635042
Ariel_University28,ec:8c:a2:09:8c:3c,32.10353355128237,35.20781291804855,690.5795129917332
 16,ec:8c:a2:89:8c:37,32.10371440835981,35.2078263595938,690.4758805974767
 28,ec:8c:a2:0a:08:b8,32.10371440835981,35.2078263595938,690.4758805974767
Ariel_University0,ec:8c:a2:08:7b:88,32.10395115783471,35.20786377093516,690.3267397654319
KCG_540,00:25:86:cc:07:b2,32.10410016147078,35.20842792478725,703.2732684202417
Ariel_University4,84:c9:b2:4a:e7:87,32.1044140461797,35.20788087493433,689.9496964638441
Ariel_University8,1c:b9:c4:16:cd:68,32.1044140461797,35.20788087493433,689.9496964638441
 ,00:1a:dd:f4:f5:c4,32.10559996797917,35.21008394601984,689.0231325250428
Afikim_Wifi,00:1a:dd:f4:f5:c5,32.1051395482204,35.20907111905004,689.2440822092435
Ariel_University,ec:8c:a2:08:92:48,32.10461272357625,35.20792963641949,689.6670161410832
Ariel_University0,ec:8c:a2:08:92:4c,32.10461272357625,35.20792963641949,689.6670161410832
Ariel_University0,f0:b0:52:3e:d6:f8,32.10473074431384,35.20808401590763,689.6319853475801
Ariel_University4,e6:46:da:e4:84:c0,32.10473074431384,35.20808401590763,689.6319853475801
Ariel_University8,00:27:22:f3:e0:83,32.10473074431384,35.20808401590763,689.6319853475801
Ariel_University28,ec:8c:a2:26:d2:c8,32.10463137629941,35.20888730350134,690.5715158623818
Guest12,1c:b9:c4:16:05:38,32.10433757457879,35.20992915809101,695.6405195968892
 0,00:1a:2f:7f:6b:70,32.105480150114886,35.20995910039976,689.2878649448571
magneto0,b2:6c:ac:a0:7b:4d,32.104727290299365,35.2099691546824,694.5934529205031
Ariel_University,1c:b9:c4:15:44:58,32.104821344269475,35.21030894014531,704.6933424513428
outsense,c2:6c:ac:a0:7b:4d,32.10471486770569,35.209946542961546,693.838268876263
magneto4,90:6c:ac:a0:7b:4d,32.10470156071004,35.20992695109929,693.7615794210477
Guest16,1c:b9:c4:16:05:3c,32.104617359952364,35.209437597427666,695.5120296503743
Guest0,90:6c:ac:9f:fb:1f,32.10490750937487,35.21001680636969,688.4925232009227
Guest16,d0:bf:9c:db:31:30,32.10445415138011,35.20965374251479,694.5570000233669
ShapeDo,f8:e9:03:12:ef:3b,32.10477209848867,35.20959198198432,689.4143706947036
Ariel_University8,a2:6c:ac:9f:fb:27,32.104892803076424,35.2092822465669,690.7444350267791
Ariel_University16,90:6c:ac:9f:fb:27,32.10489300606392,35.20928224839672,690.7435731036957
Ariel_University20,b2:6c:ac:9f:fb:27,32.10489300606392,35.20928224839672,690.7435731036957
